Designer,Work Topic,Date,Company,Payment,Status
Amit,Website Banner,2024-12-01,Hyundai,2500,Completed
Rina,Social Media Posts,2025-01-05,MG Motors,1800,Pending
Amit,Flyer Design,2025-01-20,Tata Motors,2000,Completed
Neha,Brochure Design,2025-02-03,Hyundai,3000,Pending
Rina,Ad Campaign Visuals,2025-02-14,Kia,4000,Completed
Neha,Newsletter Template,2025-02-28,MG Motors,1500,Completed
Amit,Event Poster,2025-03-10,Tata Motors,2200,Pending
Rina,Infographics,2025-03-15,Kia,2700,Completed
Neha,Logo Update,2025-03-20,Hyundai,1200,Pending
Amit,Emailer Design,2025-04-01,Kia,3100,Completed
